research_trading_date,year,quarter,vol_band,panel_rank_v4,era,already_paid_pilot,qa_only,temporal_role,acquisition_stage,population_sessions,selected_sessions,model_sessions,panel_inclusion_probability,panel_weight,model_poststrat_weight
2011-11-17,2011,4,2,1,E1_2011_2013,False,False,RETRO_DEV,DEV_RANK1,44,2,2,0.045454545454545456,22.0,22.0
2011-10-13,2011,4,2,2,E1_2011_2013,False,False,RETRO_DEV,DEV_RANK2,44,2,2,0.045454545454545456,22.0,22.0
2012-03-30,2012,1,0,1,E1_2011_2013,False,False,RETRO_DEV,DEV_RANK1,3,2,2,0.6666666666666666,1.5,1.5
2012-02-24,2012,1,0,2,E1_2011_2013,False,False,RETRO_DEV,DEV_RANK2,3,2,2,0.6666666666666666,1.5,1.5
2012-03-21,2012,1,1,1,E1_2011_2013,False,False,RETRO_DEV,DEV_RANK1,25,2,2,0.08,12.5,12.5
2012-02-15,2012,1,1,2,E1_2011_2013,False,False,RETRO_DEV,DEV_RANK2,25,2,2,0.08,12.5,12.5
2012-03-01,2012,1,2,1,E1_2011_2013,False,False,RETRO_DEV,DEV_RANK1,37,2,2,0.05405405405405406,18.5,18.5
2012-01-26,2012,1,2,2,E1_2011_2013,False,False,RETRO_DEV,DEV_RANK2,37,2,2,0.05405405405405406,18.5,18.5
2012-05-07,2012,2,0,1,E1_2011_2013,False,False,RETRO_DEV,DEV_RANK1,5,2,2,0.4,2.5,2.5
2012-06-05,2012,2,0,2,E1_2011_2013,False,False,RETRO_DEV,DEV_RANK2,5,2,2,0.4,2.5,2.5
2012-04-23,2012,2,1,1,E1_2011_2013,False,False,RETRO_DEV,DEV_RANK1,28,2,2,0.07142857142857142,14.0,14.0
2012-04-06,2012,2,1,2,E1_2011_2013,False,False,RETRO_DEV,DEV_RANK2,28,2,2,0.07142857142857142,14.0,14.0
2012-04-13,2012,2,2,1,E1_2011_2013,False,False,RETRO_DEV,DEV_RANK1,32,2,2,0.0625,16.0,16.0
2012-05-09,2012,2,2,2,E1_2011_2013,False,False,RETRO_DEV,DEV_RANK2,32,2,2,0.0625,16.0,16.0
2012-07-30,2012,3,0,1,E1_2011_2013,False,False,RETRO_DEV,DEV_RANK1,13,2,2,0.15384615384615385,6.5,6.5
2012-09-03,2012,3,0,2,E1_2011_2013,False,False,RETRO_DEV,DEV_RANK2,13,2,2,0.15384615384615385,6.5,6.5
2012-07-02,2012,3,1,1,E1_2011_2013,False,False,RETRO_DEV,DEV_RANK1,32,2,2,0.0625,16.0,16.0
2012-07-19,2012,3,1,2,E1_2011_2013,False,False,RETRO_DEV,DEV_RANK2,32,2,2,0.0625,16.0,16.0
2012-09-06,2012,3,2,1,E1_2011_2013,False,False,RETRO_DEV,DEV_RANK1,20,2,2,0.1,10.0,10.0
2012-07-25,2012,3,2,2,E1_2011_2013,False,False,RETRO_DEV,DEV_RANK2,20,2,2,0.1,10.0,10.0
2012-11-22,2012,4,0,1,E1_2011_2013,False,False,RETRO_DEV,DEV_RANK1,20,2,2,0.1,10.0,10.0
2012-11-12,2012,4,0,2,E1_2011_2013,False,False,RETRO_DEV,DEV_RANK2,20,2,2,0.1,10.0,10.0
2012-10-12,2012,4,1,1,E1_2011_2013,False,False,RETRO_DEV,DEV_RANK1,25,2,2,0.08,12.5,12.5
2012-12-07,2012,4,1,2,E1_2011_2013,False,False,RETRO_DEV,DEV_RANK2,25,2,2,0.08,12.5,12.5
2012-11-23,2012,4,2,1,E1_2011_2013,False,False,RETRO_DEV,DEV_RANK1,21,2,2,0.09523809523809523,10.5,10.5
2012-12-04,2012,4,2,2,E1_2011_2013,False,False,RETRO_DEV,DEV_RANK2,21,2,2,0.09523809523809523,10.5,10.5
2013-02-22,2013,1,0,1,E1_2011_2013,False,False,RETRO_DEV,DEV_RANK1,36,2,2,0.05555555555555555,18.0,18.0
2013-03-21,2013,1,0,2,E1_2011_2013,False,False,RETRO_DEV,DEV_RANK2,36,2,2,0.05555555555555555,18.0,18.0
2013-02-07,2013,1,1,1,E1_2011_2013,True,True,RETRO_DEV,QA_ONLY_ALREADY_PAID,19,2,1,0.10526315789473684,9.5,19.0
2013-03-18,2013,1,1,2,E1_2011_2013,False,False,RETRO_DEV,DEV_RANK2,19,2,1,0.10526315789473684,9.5,19.0
2013-02-26,2013,1,2,1,E1_2011_2013,False,False,RETRO_DEV,DEV_RANK1,8,2,2,0.25,4.0,4.0
2013-01-17,2013,1,2,2,E1_2011_2013,False,False,RETRO_DEV,DEV_RANK2,8,2,2,0.25,4.0,4.0
2013-05-29,2013,2,0,1,E1_2011_2013,True,True,RETRO_DEV,QA_ONLY_ALREADY_PAID,13,2,1,0.15384615384615385,6.5,13.0
2013-05-24,2013,2,0,2,E1_2011_2013,False,False,RETRO_DEV,DEV_RANK2,13,2,1,0.15384615384615385,6.5,13.0
2013-06-11,2013,2,1,1,E1_2011_2013,False,False,RETRO_DEV,DEV_RANK1,16,2,2,0.125,8.0,8.0
2013-05-14,2013,2,1,2,E1_2011_2013,False,False,RETRO_DEV,DEV_RANK2,16,2,2,0.125,8.0,8.0
2013-04-16,2013,2,2,1,E1_2011_2013,False,False,RETRO_DEV,DEV_RANK1,36,2,2,0.05555555555555555,18.0,18.0
2013-05-28,2013,2,2,2,E1_2011_2013,False,False,RETRO_DEV,DEV_RANK2,36,2,2,0.05555555555555555,18.0,18.0
2013-09-09,2013,3,0,1,E1_2011_2013,False,False,RETRO_DEV,DEV_RANK1,13,2,2,0.15384615384615385,6.5,6.5
2013-08-07,2013,3,0,2,E1_2011_2013,False,False,RETRO_DEV,DEV_RANK2,13,2,2,0.15384615384615385,6.5,6.5
2013-09-27,2013,3,1,1,E1_2011_2013,False,False,RETRO_DEV,DEV_RANK1,28,2,2,0.07142857142857142,14.0,14.0
2013-08-01,2013,3,1,2,E1_2011_2013,False,False,RETRO_DEV,DEV_RANK2,28,2,2,0.07142857142857142,14.0,14.0
2013-09-30,2013,3,2,1,E1_2011_2013,False,False,RETRO_DEV,DEV_RANK1,25,2,2,0.08,12.5,12.5
2013-08-08,2013,3,2,2,E1_2011_2013,False,False,RETRO_DEV,DEV_RANK2,25,2,2,0.08,12.5,12.5
2013-11-21,2013,4,0,1,E1_2011_2013,False,False,RETRO_DEV,DEV_RANK1,22,2,2,0.09090909090909091,11.0,11.0
2013-12-23,2013,4,0,2,E1_2011_2013,False,False,RETRO_DEV,DEV_RANK2,22,2,2,0.09090909090909091,11.0,11.0
2013-11-13,2013,4,1,1,E1_2011_2013,False,False,RETRO_DEV,DEV_RANK1,24,2,2,0.08333333333333333,12.0,12.0
2013-10-16,2013,4,1,2,E1_2011_2013,False,False,RETRO_DEV,DEV_RANK2,24,2,2,0.08333333333333333,12.0,12.0
2013-11-20,2013,4,2,1,E1_2011_2013,False,False,RETRO_DEV,DEV_RANK1,19,2,2,0.10526315789473684,9.5,9.5
2013-11-25,2013,4,2,2,E1_2011_2013,False,False,RETRO_DEV,DEV_RANK2,19,2,2,0.10526315789473684,9.5,9.5
2014-01-20,2014,1,0,1,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK1,10,2,2,0.2,5.0,5.0
2014-01-09,2014,1,0,2,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK2,10,2,2,0.2,5.0,5.0
2014-01-24,2014,1,1,1,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK1,24,2,2,0.08333333333333333,12.0,12.0
2014-01-31,2014,1,1,2,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK2,24,2,2,0.08333333333333333,12.0,12.0
2014-03-17,2014,1,2,1,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK1,29,2,2,0.06896551724137931,14.5,14.5
2014-03-04,2014,1,2,2,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK2,29,2,2,0.06896551724137931,14.5,14.5
2014-06-13,2014,2,0,1,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK1,26,2,2,0.07692307692307693,13.0,13.0
2014-06-27,2014,2,0,2,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK2,26,2,2,0.07692307692307693,13.0,13.0
2014-04-14,2014,2,1,1,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK1,27,2,2,0.07407407407407407,13.5,13.5
2014-04-16,2014,2,1,2,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK2,27,2,2,0.07407407407407407,13.5,13.5
2014-04-21,2014,2,2,1,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK1,12,2,2,0.16666666666666666,6.0,6.0
2014-06-19,2014,2,2,2,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK2,12,2,2,0.16666666666666666,6.0,6.0
2014-08-20,2014,3,0,1,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK1,30,2,2,0.06666666666666667,15.0,15.0
2014-08-12,2014,3,0,2,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK2,30,2,2,0.06666666666666667,15.0,15.0
2014-08-08,2014,3,1,1,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK1,21,2,2,0.09523809523809523,10.5,10.5
2014-09-15,2014,3,1,2,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK2,21,2,2,0.09523809523809523,10.5,10.5
2014-07-18,2014,3,2,1,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK1,15,2,2,0.13333333333333333,7.5,7.5
2014-07-14,2014,3,2,2,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK2,15,2,2,0.13333333333333333,7.5,7.5
2014-11-04,2014,4,0,1,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK1,16,2,2,0.125,8.0,8.0
2014-12-04,2014,4,0,2,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK2,16,2,2,0.125,8.0,8.0
2014-10-09,2014,4,1,1,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK1,16,2,2,0.125,8.0,8.0
2014-11-25,2014,4,1,2,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK2,16,2,2,0.125,8.0,8.0
2014-10-30,2014,4,2,1,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK1,33,2,2,0.06060606060606061,16.5,16.5
2014-11-21,2014,4,2,2,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK2,33,2,2,0.06060606060606061,16.5,16.5
2015-03-09,2015,1,0,1,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK1,10,2,2,0.2,5.0,5.0
2015-03-13,2015,1,0,2,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK2,10,2,2,0.2,5.0,5.0
2015-02-24,2015,1,1,1,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK1,20,2,2,0.1,10.0,10.0
2015-01-28,2015,1,1,2,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK2,20,2,2,0.1,10.0,10.0
2015-02-05,2015,1,2,1,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK1,33,2,2,0.06060606060606061,16.5,16.5
2015-01-05,2015,1,2,2,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK2,33,2,2,0.06060606060606061,16.5,16.5
2015-06-26,2015,2,0,1,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK1,23,2,2,0.08695652173913043,11.5,11.5
2015-05-28,2015,2,0,2,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK2,23,2,2,0.08695652173913043,11.5,11.5
2015-06-04,2015,2,1,1,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK1,27,2,2,0.07407407407407407,13.5,13.5
2015-06-10,2015,2,1,2,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK2,27,2,2,0.07407407407407407,13.5,13.5
2015-04-01,2015,2,2,1,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK1,15,2,2,0.13333333333333333,7.5,7.5
2015-04-20,2015,2,2,2,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK2,15,2,2,0.13333333333333333,7.5,7.5
2015-09-25,2015,3,0,1,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK1,24,2,1,0.08333333333333333,12.0,24.0
2015-08-06,2015,3,0,2,E2_2014_2018,True,True,RETRO_DEV,QA_ONLY_ALREADY_PAID,24,2,1,0.08333333333333333,12.0,24.0
2015-09-01,2015,3,1,1,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK1,22,2,2,0.09090909090909091,11.0,11.0
2015-08-13,2015,3,1,2,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK2,22,2,2,0.09090909090909091,11.0,11.0
2015-07-20,2015,3,2,1,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK1,20,2,2,0.1,10.0,10.0
2015-07-07,2015,3,2,2,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK2,20,2,2,0.1,10.0,10.0
2015-12-01,2015,4,0,1,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK1,27,2,2,0.07407407407407407,13.5,13.5
2015-12-31,2015,4,0,2,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK2,27,2,2,0.07407407407407407,13.5,13.5
2015-10-13,2015,4,1,1,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK1,18,2,2,0.1111111111111111,9.0,9.0
2015-12-09,2015,4,1,2,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK2,18,2,2,0.1111111111111111,9.0,9.0
2015-10-29,2015,4,2,1,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK1,20,2,2,0.1,10.0,10.0
2015-12-14,2015,4,2,2,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK2,20,2,2,0.1,10.0,10.0
2016-03-15,2016,1,0,1,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK1,11,2,2,0.18181818181818182,5.5,5.5
2016-01-18,2016,1,0,2,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK2,11,2,2,0.18181818181818182,5.5,5.5
2016-02-04,2016,1,1,1,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK1,22,2,2,0.09090909090909091,11.0,11.0
2016-01-12,2016,1,1,2,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK2,22,2,2,0.09090909090909091,11.0,11.0
2016-02-18,2016,1,2,1,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK1,30,2,2,0.06666666666666667,15.0,15.0
2016-02-25,2016,1,2,2,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK2,30,2,2,0.06666666666666667,15.0,15.0
2016-06-22,2016,2,0,1,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK1,17,2,2,0.11764705882352941,8.5,8.5
2016-05-17,2016,2,0,2,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK2,17,2,2,0.11764705882352941,8.5,8.5
2016-04-20,2016,2,1,1,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK1,28,2,2,0.07142857142857142,14.0,14.0
2016-05-19,2016,2,1,2,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK2,28,2,2,0.07142857142857142,14.0,14.0
2016-04-28,2016,2,2,1,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK1,20,2,2,0.1,10.0,10.0
2016-06-21,2016,2,2,2,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK2,20,2,2,0.1,10.0,10.0
2016-07-19,2016,3,0,1,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK1,30,2,2,0.06666666666666667,15.0,15.0
2016-08-15,2016,3,0,2,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK2,30,2,2,0.06666666666666667,15.0,15.0
2016-08-19,2016,3,1,1,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK1,17,2,2,0.11764705882352941,8.5,8.5
2016-08-10,2016,3,1,2,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK2,17,2,2,0.11764705882352941,8.5,8.5
2016-07-01,2016,3,2,1,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK1,19,2,2,0.10526315789473684,9.5,9.5
2016-09-21,2016,3,2,2,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK2,19,2,2,0.10526315789473684,9.5,9.5
2016-11-16,2016,4,0,1,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK1,28,2,2,0.07142857142857142,14.0,14.0
2016-10-20,2016,4,0,2,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK2,28,2,2,0.07142857142857142,14.0,14.0
2016-12-09,2016,4,1,1,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK1,19,2,2,0.10526315789473684,9.5,9.5
2016-11-01,2016,4,1,2,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK2,19,2,2,0.10526315789473684,9.5,9.5
2016-12-14,2016,4,2,1,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK1,17,2,2,0.11764705882352941,8.5,8.5
2016-12-15,2016,4,2,2,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK2,17,2,2,0.11764705882352941,8.5,8.5
2017-03-29,2017,1,0,1,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK1,12,2,2,0.16666666666666666,6.0,6.0
2017-02-16,2017,1,0,2,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK2,12,2,2,0.16666666666666666,6.0,6.0
2017-01-10,2017,1,1,1,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK1,26,2,2,0.07692307692307693,13.0,13.0
2017-02-21,2017,1,1,2,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK2,26,2,2,0.07692307692307693,13.0,13.0
2017-01-11,2017,1,2,1,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK1,26,2,2,0.07692307692307693,13.0,13.0
2017-01-20,2017,1,2,2,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK2,26,2,2,0.07692307692307693,13.0,13.0
2017-06-16,2017,2,0,1,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK1,29,2,2,0.06896551724137931,14.5,14.5
2017-06-30,2017,2,0,2,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK2,29,2,2,0.06896551724137931,14.5,14.5
2017-06-19,2017,2,1,1,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK1,14,2,2,0.14285714285714285,7.0,7.0
2017-05-11,2017,2,1,2,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK2,14,2,2,0.14285714285714285,7.0,7.0
2017-05-09,2017,2,2,1,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK1,21,2,2,0.09523809523809523,10.5,10.5
2017-06-15,2017,2,2,2,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK2,21,2,2,0.09523809523809523,10.5,10.5
2017-07-24,2017,3,0,1,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK1,19,2,2,0.10526315789473684,9.5,9.5
2017-07-25,2017,3,0,2,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK2,19,2,2,0.10526315789473684,9.5,9.5
2017-07-28,2017,3,1,1,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK1,22,2,2,0.09090909090909091,11.0,11.0
2017-07-10,2017,3,1,2,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK2,22,2,2,0.09090909090909091,11.0,11.0
2017-08-29,2017,3,2,1,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK1,24,2,2,0.08333333333333333,12.0,12.0
2017-09-25,2017,3,2,2,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK2,24,2,2,0.08333333333333333,12.0,12.0
2017-11-16,2017,4,0,1,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK1,26,2,2,0.07692307692307693,13.0,13.0
2017-12-08,2017,4,0,2,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK2,26,2,2,0.07692307692307693,13.0,13.0
2017-10-31,2017,4,1,1,E2_2014_2018,True,True,RETRO_DEV,QA_ONLY_ALREADY_PAID,23,2,1,0.08695652173913043,11.5,23.0
2017-10-23,2017,4,1,2,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK2,23,2,1,0.08695652173913043,11.5,23.0
2017-11-30,2017,4,2,1,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK1,15,2,2,0.13333333333333333,7.5,7.5
2017-10-16,2017,4,2,2,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK2,15,2,2,0.13333333333333333,7.5,7.5
2018-03-14,2018,1,0,1,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK1,12,2,2,0.16666666666666666,6.0,6.0
2018-01-15,2018,1,0,2,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK2,12,2,2,0.16666666666666666,6.0,6.0
2018-03-09,2018,1,1,1,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK1,21,2,2,0.09523809523809523,10.5,10.5
2018-01-16,2018,1,1,2,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK2,21,2,2,0.09523809523809523,10.5,10.5
2018-01-02,2018,1,2,1,E2_2014_2018,True,True,RETRO_DEV,QA_ONLY_ALREADY_PAID,30,2,1,0.06666666666666667,15.0,30.0
2018-01-25,2018,1,2,2,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK2,30,2,1,0.06666666666666667,15.0,30.0
2018-05-18,2018,2,0,1,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK1,22,2,2,0.09090909090909091,11.0,11.0
2018-06-28,2018,2,0,2,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK2,22,2,2,0.09090909090909091,11.0,11.0
2018-05-16,2018,2,1,1,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK1,23,2,2,0.08695652173913043,11.5,11.5
2018-04-10,2018,2,1,2,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK2,23,2,2,0.08695652173913043,11.5,11.5
2018-04-25,2018,2,2,1,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK1,20,2,2,0.1,10.0,10.0
2018-05-24,2018,2,2,2,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK2,20,2,2,0.1,10.0,10.0
2018-08-20,2018,3,0,1,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK1,24,2,2,0.08333333333333333,12.0,12.0
2018-09-18,2018,3,0,2,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK2,24,2,2,0.08333333333333333,12.0,12.0
2018-07-10,2018,3,1,1,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK1,21,2,2,0.09523809523809523,10.5,10.5
2018-09-11,2018,3,1,2,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK2,21,2,2,0.09523809523809523,10.5,10.5
2018-08-02,2018,3,2,1,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK1,20,2,2,0.1,10.0,10.0
2018-07-02,2018,3,2,2,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK2,20,2,2,0.1,10.0,10.0
2018-12-31,2018,4,0,1,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK1,28,2,2,0.07142857142857142,14.0,14.0
2018-11-13,2018,4,0,2,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK2,28,2,2,0.07142857142857142,14.0,14.0
2018-10-10,2018,4,1,1,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK1,21,2,2,0.09523809523809523,10.5,10.5
2018-10-29,2018,4,1,2,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK2,21,2,2,0.09523809523809523,10.5,10.5
2018-12-26,2018,4,2,1,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK1,16,2,2,0.125,8.0,8.0
2018-11-09,2018,4,2,2,E2_2014_2018,False,False,RETRO_DEV,DEV_RANK2,16,2,2,0.125,8.0,8.0
2019-01-14,2019,1,0,1,E3_2019_2022,False,False,RETRO_CONFIRM,CONFIRM,34,2,2,0.058823529411764705,17.0,17.0
2019-01-24,2019,1,0,2,E3_2019_2022,False,False,RETRO_CONFIRM,CONFIRM,34,2,2,0.058823529411764705,17.0,17.0
2019-03-08,2019,1,1,1,E3_2019_2022,False,False,RETRO_CONFIRM,CONFIRM,20,2,2,0.1,10.0,10.0
2019-01-09,2019,1,1,2,E3_2019_2022,False,False,RETRO_CONFIRM,CONFIRM,20,2,2,0.1,10.0,10.0
2019-03-14,2019,1,2,1,E3_2019_2022,False,False,RETRO_CONFIRM,CONFIRM,9,2,2,0.2222222222222222,4.5,4.5
2019-02-21,2019,1,2,2,E3_2019_2022,False,False,RETRO_CONFIRM,CONFIRM,9,2,2,0.2222222222222222,4.5,4.5
2019-04-17,2019,2,0,1,E3_2019_2022,False,False,RETRO_CONFIRM,CONFIRM,32,2,1,0.0625,16.0,32.0
