research_trading_date,year,quarter,vol_band,panel_rank_v4,era,schema,cost_usd
2012-07-19,2012,3,1,2,E1_2011_2013,trades,0.096731185913
2012-07-19,2012,3,1,2,E1_2011_2013,tbbo,0.161218643188
2012-09-06,2012,3,2,1,E1_2011_2013,trades,0.149733066559
2012-09-06,2012,3,2,1,E1_2011_2013,tbbo,0.249555110931
2012-07-25,2012,3,2,2,E1_2011_2013,trades,0.142774879932
2012-07-25,2012,3,2,2,E1_2011_2013,tbbo,0.237958133221
2012-11-22,2012,4,0,1,E1_2011_2013,trades,0.000127673149
2012-11-22,2012,4,0,1,E1_2011_2013,tbbo,0.000212788582
2012-11-12,2012,4,0,2,E1_2011_2013,trades,0.081233918667
2012-11-12,2012,4,0,2,E1_2011_2013,tbbo,0.135389864445
2012-10-12,2012,4,1,1,E1_2011_2013,trades,0.115457832813
2012-10-12,2012,4,1,1,E1_2011_2013,tbbo,0.192429721355
2012-12-07,2012,4,1,2,E1_2011_2013,trades,0.126999735832
2012-12-07,2012,4,1,2,E1_2011_2013,tbbo,0.211666226387
2012-11-23,2012,4,2,1,E1_2011_2013,trades,0.083345532417
2012-11-23,2012,4,2,1,E1_2011_2013,tbbo,0.138909220695
2012-12-04,2012,4,2,2,E1_2011_2013,trades,0.161505281925
2012-12-04,2012,4,2,2,E1_2011_2013,tbbo,0.269175469875
2013-02-22,2013,1,0,1,E1_2011_2013,trades,0.123503744602
2013-02-22,2013,1,0,1,E1_2011_2013,tbbo,0.205839574337
2013-03-21,2013,1,0,2,E1_2011_2013,trades,0.092720746994
2013-03-21,2013,1,0,2,E1_2011_2013,tbbo,0.154534578323
2013-03-18,2013,1,1,2,E1_2011_2013,trades,0.138544142246
2013-03-18,2013,1,1,2,E1_2011_2013,tbbo,0.230906903744
2013-02-26,2013,1,2,1,E1_2011_2013,trades,0.2149502635
2013-02-26,2013,1,2,1,E1_2011_2013,tbbo,0.358250439167
2013-01-17,2013,1,2,2,E1_2011_2013,trades,0.162666857243
2013-01-17,2013,1,2,2,E1_2011_2013,tbbo,0.271111428738
2013-05-24,2013,2,0,2,E1_2011_2013,trades,0.097512245178
2013-05-24,2013,2,0,2,E1_2011_2013,tbbo,0.16252040863
2013-06-11,2013,2,1,1,E1_2011_2013,trades,0.127611815929
2013-06-11,2013,2,1,1,E1_2011_2013,tbbo,0.212686359882
2013-05-14,2013,2,1,2,E1_2011_2013,trades,0.14370238781
2013-05-14,2013,2,1,2,E1_2011_2013,tbbo,0.239503979683
2013-04-16,2013,2,2,1,E1_2011_2013,trades,0.359438717365
2013-04-16,2013,2,2,1,E1_2011_2013,tbbo,0.599064528942
2013-05-28,2013,2,2,2,E1_2011_2013,trades,0.158118188381
2013-05-28,2013,2,2,2,E1_2011_2013,tbbo,0.263530313969
2013-09-09,2013,3,0,1,E1_2011_2013,trades,0.070420503616
2013-09-09,2013,3,0,1,E1_2011_2013,tbbo,0.117367506027
2013-08-07,2013,3,0,2,E1_2011_2013,trades,0.106201529503
2013-08-07,2013,3,0,2,E1_2011_2013,tbbo,0.177002549171
2013-09-27,2013,3,1,1,E1_2011_2013,trades,0.107041418552
2013-09-27,2013,3,1,1,E1_2011_2013,tbbo,0.178402364254
2013-08-01,2013,3,1,2,E1_2011_2013,trades,0.140513062477
2013-08-01,2013,3,1,2,E1_2011_2013,tbbo,0.234188437462
2013-09-30,2013,3,2,1,E1_2011_2013,trades,0.105314075947
2013-09-30,2013,3,2,1,E1_2011_2013,tbbo,0.175523459911
2013-08-08,2013,3,2,2,E1_2011_2013,trades,0.126248717308
2013-08-08,2013,3,2,2,E1_2011_2013,tbbo,0.210414528847
2013-11-21,2013,4,0,1,E1_2011_2013,trades,0.131537139416
2013-11-21,2013,4,0,1,E1_2011_2013,tbbo,0.219228565693
2013-12-23,2013,4,0,2,E1_2011_2013,trades,0.067919611931
2013-12-23,2013,4,0,2,E1_2011_2013,tbbo,0.113199353218
2013-11-13,2013,4,1,1,E1_2011_2013,trades,0.105412960052
2013-11-13,2013,4,1,1,E1_2011_2013,tbbo,0.175688266754
2013-10-16,2013,4,1,2,E1_2011_2013,trades,0.13694447279
2013-10-16,2013,4,1,2,E1_2011_2013,tbbo,0.228240787983
2013-11-20,2013,4,2,1,E1_2011_2013,trades,0.181126892567
2013-11-20,2013,4,2,1,E1_2011_2013,tbbo,0.301878154278
2013-11-25,2013,4,2,2,E1_2011_2013,trades,0.135825455189
2013-11-25,2013,4,2,2,E1_2011_2013,tbbo,0.226375758648
2014-01-20,2014,1,0,1,E2_2014_2018,trades,0.0
2014-01-20,2014,1,0,1,E2_2014_2018,tbbo,0.0
2014-01-09,2014,1,0,2,E2_2014_2018,trades,0.07853525877
2014-01-09,2014,1,0,2,E2_2014_2018,tbbo,0.13089209795
2014-01-24,2014,1,1,1,E2_2014_2018,trades,0.123019337654
2014-01-24,2014,1,1,1,E2_2014_2018,tbbo,0.205032229424
2014-01-31,2014,1,1,2,E2_2014_2018,trades,0.002095341682
2014-01-31,2014,1,1,2,E2_2014_2018,tbbo,0.003492236137
2014-03-17,2014,1,2,1,E2_2014_2018,trades,0.136357426643
2014-03-17,2014,1,2,1,E2_2014_2018,tbbo,0.227262377739
2014-03-04,2014,1,2,2,E2_2014_2018,trades,0.11893504858
2014-03-04,2014,1,2,2,E2_2014_2018,tbbo,0.198225080967
2014-06-13,2014,2,0,1,E2_2014_2018,trades,0.000309169292
2014-06-13,2014,2,0,1,E2_2014_2018,tbbo,0.000515282154
2014-06-27,2014,2,0,2,E2_2014_2018,trades,0.089218497276
2014-06-27,2014,2,0,2,E2_2014_2018,tbbo,0.148697495461
2014-04-14,2014,2,1,1,E2_2014_2018,trades,0.092106163502
2014-04-14,2014,2,1,1,E2_2014_2018,tbbo,0.153510272503
2014-04-16,2014,2,1,2,E2_2014_2018,trades,0.108473360538
2014-04-16,2014,2,1,2,E2_2014_2018,tbbo,0.180788934231
2014-04-21,2014,2,2,1,E2_2014_2018,trades,0.096530914307
2014-04-21,2014,2,2,1,E2_2014_2018,tbbo,0.160884857178
2014-06-19,2014,2,2,2,E2_2014_2018,trades,0.198326468468
2014-06-19,2014,2,2,2,E2_2014_2018,tbbo,0.330544114113
2014-08-20,2014,3,0,1,E2_2014_2018,trades,0.072111546993
2014-08-20,2014,3,0,1,E2_2014_2018,tbbo,0.120185911655
2014-08-12,2014,3,0,2,E2_2014_2018,trades,0.081576883793
2014-08-12,2014,3,0,2,E2_2014_2018,tbbo,0.135961472988
2014-08-08,2014,3,1,1,E2_2014_2018,trades,0.120478391647
2014-08-08,2014,3,1,1,E2_2014_2018,tbbo,0.200797319412
2014-09-15,2014,3,1,2,E2_2014_2018,trades,0.080571770668
2014-09-15,2014,3,1,2,E2_2014_2018,tbbo,0.134286284447
2014-07-18,2014,3,2,1,E2_2014_2018,trades,0.09709918499
2014-07-18,2014,3,2,1,E2_2014_2018,tbbo,0.161831974983
2014-07-14,2014,3,2,2,E2_2014_2018,trades,0.163501739502
2014-07-14,2014,3,2,2,E2_2014_2018,tbbo,0.27250289917
2014-11-04,2014,4,0,1,E2_2014_2018,trades,0.117614507675
2014-11-04,2014,4,0,1,E2_2014_2018,tbbo,0.196024179459
2014-12-04,2014,4,0,2,E2_2014_2018,trades,0.104491710663
2014-12-04,2014,4,0,2,E2_2014_2018,tbbo,0.174152851105
2014-10-09,2014,4,1,1,E2_2014_2018,trades,0.141266584396
2014-10-09,2014,4,1,1,E2_2014_2018,tbbo,0.235444307327
2014-11-25,2014,4,1,2,E2_2014_2018,trades,0.114131033421
2014-11-25,2014,4,1,2,E2_2014_2018,tbbo,0.190218389034
2014-10-30,2014,4,2,1,E2_2014_2018,trades,0.169126868248
2014-10-30,2014,4,2,1,E2_2014_2018,tbbo,0.281878113747
2014-11-21,2014,4,2,2,E2_2014_2018,trades,0.159197151661
2014-11-21,2014,4,2,2,E2_2014_2018,tbbo,0.265328586102
2015-03-09,2015,1,0,1,E2_2014_2018,trades,0.092621862888
2015-03-09,2015,1,0,1,E2_2014_2018,tbbo,0.154369771481
2015-03-13,2015,1,0,2,E2_2014_2018,trades,0.099364757538
2015-03-13,2015,1,0,2,E2_2014_2018,tbbo,0.16560792923
2015-02-24,2015,1,1,1,E2_2014_2018,trades,0.105299055576
2015-02-24,2015,1,1,1,E2_2014_2018,tbbo,0.175498425961
2015-01-28,2015,1,1,2,E2_2014_2018,trades,0.109797656536
2015-01-28,2015,1,1,2,E2_2014_2018,tbbo,0.182996094227
2015-02-05,2015,1,2,1,E2_2014_2018,trades,0.120977818966
2015-02-05,2015,1,2,1,E2_2014_2018,tbbo,0.201629698277
2015-01-05,2015,1,2,2,E2_2014_2018,trades,0.133101761341
2015-01-05,2015,1,2,2,E2_2014_2018,tbbo,0.221836268902
2015-06-26,2015,2,0,1,E2_2014_2018,trades,0.092172503471
2015-06-26,2015,2,0,1,E2_2014_2018,tbbo,0.153620839119
2015-05-28,2015,2,0,2,E2_2014_2018,trades,0.022427916527
2015-05-28,2015,2,0,2,E2_2014_2018,tbbo,0.037379860878
2015-06-04,2015,2,1,1,E2_2014_2018,trades,0.135507524014
2015-06-04,2015,2,1,1,E2_2014_2018,tbbo,0.225845873356
2015-06-10,2015,2,1,2,E2_2014_2018,trades,0.107100248337
2015-06-10,2015,2,1,2,E2_2014_2018,tbbo,0.178500413895
2015-04-01,2015,2,2,1,E2_2014_2018,trades,0.000889956951
2015-04-01,2015,2,2,1,E2_2014_2018,tbbo,0.001483261585
2015-04-20,2015,2,2,2,E2_2014_2018,trades,0.119364380836
2015-04-20,2015,2,2,2,E2_2014_2018,tbbo,0.198940634727
2015-09-25,2015,3,0,1,E2_2014_2018,trades,0.113699197769
2015-09-25,2015,3,0,1,E2_2014_2018,tbbo,0.189498662949
2015-09-01,2015,3,1,1,E2_2014_2018,trades,0.117223978043
2015-09-01,2015,3,1,1,E2_2014_2018,tbbo,0.195373296738
2015-08-13,2015,3,1,2,E2_2014_2018,trades,0.108449578285
2015-08-13,2015,3,1,2,E2_2014_2018,tbbo,0.180749297142
2015-07-20,2015,3,2,1,E2_2014_2018,trades,0.19473785162
2015-07-20,2015,3,2,1,E2_2014_2018,tbbo,0.324563086033
2015-07-07,2015,3,2,2,E2_2014_2018,trades,0.166814982891
2015-07-07,2015,3,2,2,E2_2014_2018,tbbo,0.278024971485
2015-12-01,2015,4,0,1,E2_2014_2018,trades,0.059195280075
2015-12-01,2015,4,0,1,E2_2014_2018,tbbo,0.098658800125
2015-12-31,2015,4,0,2,E2_2014_2018,trades,0.028852880001
2015-12-31,2015,4,0,2,E2_2014_2018,tbbo,0.048088133335
2015-10-13,2015,4,1,1,E2_2014_2018,trades,0.11202943325
2015-10-13,2015,4,1,1,E2_2014_2018,tbbo,0.186715722084
2015-12-09,2015,4,1,2,E2_2014_2018,trades,0.075969278812
2015-12-09,2015,4,1,2,E2_2014_2018,tbbo,0.126615464687
2015-10-29,2015,4,2,1,E2_2014_2018,trades,0.133399665356
2015-10-29,2015,4,2,1,E2_2014_2018,tbbo,0.222332775593
2015-12-14,2015,4,2,2,E2_2014_2018,trades,0.064421117306
2015-12-14,2015,4,2,2,E2_2014_2018,tbbo,0.107368528843
2016-03-15,2016,1,0,1,E2_2014_2018,trades,0.09499257803
2016-03-15,2016,1,0,1,E2_2014_2018,tbbo,0.158320963383
2016-01-18,2016,1,0,2,E2_2014_2018,trades,0.023748457432
2016-01-18,2016,1,0,2,E2_2014_2018,tbbo,0.039580762386
2016-02-04,2016,1,1,1,E2_2014_2018,trades,0.08637213707
2016-02-04,2016,1,1,1,E2_2014_2018,tbbo,0.143953561783
2016-01-12,2016,1,1,2,E2_2014_2018,trades,0.072762429714
2016-01-12,2016,1,1,2,E2_2014_2018,tbbo,0.12127071619
2016-02-18,2016,1,2,1,E2_2014_2018,trades,0.094070076942
2016-02-18,2016,1,2,1,E2_2014_2018,tbbo,0.156783461571
2016-02-25,2016,1,2,2,E2_2014_2018,trades,0.117876112461
2016-02-25,2016,1,2,2,E2_2014_2018,tbbo,0.196460187435
2016-06-22,2016,2,0,1,E2_2014_2018,trades,0.072624742985
2016-06-22,2016,2,0,1,E2_2014_2018,tbbo,0.121041238308
2016-05-17,2016,2,0,2,E2_2014_2018,trades,0.093732118607
2016-05-17,2016,2,0,2,E2_2014_2018,tbbo,0.156220197678
2016-04-20,2016,2,1,1,E2_2014_2018,trades,0.091423988342
2016-04-20,2016,2,1,1,E2_2014_2018,tbbo,0.152373313904
2016-05-19,2016,2,1,2,E2_2014_2018,trades,0.112888097763
2016-05-19,2016,2,1,2,E2_2014_2018,tbbo,0.188146829605
2016-04-28,2016,2,2,1,E2_2014_2018,trades,0.120361983776
2016-04-28,2016,2,2,1,E2_2014_2018,tbbo,0.200603306293
2016-06-21,2016,2,2,2,E2_2014_2018,trades,0.10441160202
2016-06-21,2016,2,2,2,E2_2014_2018,tbbo,0.1740193367
2016-07-19,2016,3,0,1,E2_2014_2018,trades,0.068933486938
2016-07-19,2016,3,0,1,E2_2014_2018,tbbo,0.114889144897
2016-08-15,2016,3,0,2,E2_2014_2018,trades,0.064008057117
2016-08-15,2016,3,0,2,E2_2014_2018,tbbo,0.106680095196
2016-08-19,2016,3,1,1,E2_2014_2018,trades,0.096688628197
2016-08-19,2016,3,1,1,E2_2014_2018,tbbo,0.161147713661
2016-08-10,2016,3,1,2,E2_2014_2018,trades,0.091530382633
2016-08-10,2016,3,1,2,E2_2014_2018,tbbo,0.152550637722
2016-07-01,2016,3,2,1,E2_2014_2018,trades,0.106923758984
2016-07-01,2016,3,2,1,E2_2014_2018,tbbo,0.178206264973
2016-09-21,2016,3,2,2,E2_2014_2018,trades,0.126148581505
2016-09-21,2016,3,2,2,E2_2014_2018,tbbo,0.210247635841
2016-11-16,2016,4,0,1,E2_2014_2018,trades,0.097285687923
2016-11-16,2016,4,0,1,E2_2014_2018,tbbo,0.162142813206
2016-10-20,2016,4,0,2,E2_2014_2018,trades,0.065118312836
2016-10-20,2016,4,0,2,E2_2014_2018,tbbo,0.108530521393
2016-12-09,2016,4,1,1,E2_2014_2018,trades,0.083778619766
2016-12-09,2016,4,1,1,E2_2014_2018,tbbo,0.139631032944
2016-11-01,2016,4,1,2,E2_2014_2018,trades,0.095971405506
2016-11-01,2016,4,1,2,E2_2014_2018,tbbo,0.15995234251
2016-12-14,2016,4,2,1,E2_2014_2018,trades,0.109644949436
2016-12-14,2016,4,2,1,E2_2014_2018,tbbo,0.182741582394
2016-12-15,2016,4,2,2,E2_2014_2018,trades,0.135064423084
2016-12-15,2016,4,2,2,E2_2014_2018,tbbo,0.225107371807
2017-03-29,2017,1,0,1,E2_2014_2018,trades,0.059424340725
2017-03-29,2017,1,0,1,E2_2014_2018,tbbo,0.099040567875
2017-02-16,2017,1,0,2,E2_2014_2018,trades,0.096201717854
2017-02-16,2017,1,0,2,E2_2014_2018,tbbo,0.160336196423
2017-01-10,2017,1,1,1,E2_2014_2018,trades,0.102547824383
2017-01-10,2017,1,1,1,E2_2014_2018,tbbo,0.170913040638
2017-02-21,2017,1,1,2,E2_2014_2018,trades,0.083987653255
2017-02-21,2017,1,1,2,E2_2014_2018,tbbo,0.139979422092
2017-01-11,2017,1,2,1,E2_2014_2018,trades,0.157591223717
2017-01-11,2017,1,2,1,E2_2014_2018,tbbo,0.262652039528
2017-01-20,2017,1,2,2,E2_2014_2018,trades,0.127231299877
2017-01-20,2017,1,2,2,E2_2014_2018,tbbo,0.212052166462
2017-06-16,2017,2,0,1,E2_2014_2018,trades,0.069857239723
2017-06-16,2017,2,0,1,E2_2014_2018,tbbo,0.116428732872
2017-06-30,2017,2,0,2,E2_2014_2018,trades,0.087106883526
2017-06-30,2017,2,0,2,E2_2014_2018,tbbo,0.14517813921
2017-06-19,2017,2,1,1,E2_2014_2018,trades,0.07652503252
2017-06-19,2017,2,1,1,E2_2014_2018,tbbo,0.127541720867
2017-05-11,2017,2,1,2,E2_2014_2018,trades,0.088319778442
2017-05-11,2017,2,1,2,E2_2014_2018,tbbo,0.147199630737
2017-05-09,2017,2,2,1,E2_2014_2018,trades,0.102924585342
2017-05-09,2017,2,2,1,E2_2014_2018,tbbo,0.171540975571
2017-06-15,2017,2,2,2,E2_2014_2018,trades,0.109920322895
2017-06-15,2017,2,2,2,E2_2014_2018,tbbo,0.183200538158
2017-07-24,2017,3,0,1,E2_2014_2018,trades,0.078172266483
2017-07-24,2017,3,0,1,E2_2014_2018,tbbo,0.130287110806
2017-07-25,2017,3,0,2,E2_2014_2018,trades,0.093152582645
2017-07-25,2017,3,0,2,E2_2014_2018,tbbo,0.155254304409
2017-07-28,2017,3,1,1,E2_2014_2018,trades,0.00863045454
2017-07-28,2017,3,1,1,E2_2014_2018,tbbo,0.0143840909
2017-07-10,2017,3,1,2,E2_2014_2018,trades,0.095681011677
2017-07-10,2017,3,1,2,E2_2014_2018,tbbo,0.159468352795
2017-08-29,2017,3,2,1,E2_2014_2018,trades,0.209161162376
2017-08-29,2017,3,2,1,E2_2014_2018,tbbo,0.348601937294
2017-09-25,2017,3,2,2,E2_2014_2018,trades,0.156731307507
2017-09-25,2017,3,2,2,E2_2014_2018,tbbo,0.261218845844
2017-11-16,2017,4,0,1,E2_2014_2018,trades,0.125069618225
2017-11-16,2017,4,0,1,E2_2014_2018,tbbo,0.208449363708
2017-12-08,2017,4,0,2,E2_2014_2018,trades,0.118245363235
2017-12-08,2017,4,0,2,E2_2014_2018,tbbo,0.197075605392
2017-10-23,2017,4,1,2,E2_2014_2018,trades,0.131731152534
2017-10-23,2017,4,1,2,E2_2014_2018,tbbo,0.219551920891
2017-11-30,2017,4,2,1,E2_2014_2018,trades,0.000663399696
2017-11-30,2017,4,2,1,E2_2014_2018,tbbo,0.001105666161
2017-10-16,2017,4,2,2,E2_2014_2018,trades,0.12413585186
2017-10-16,2017,4,2,2,E2_2014_2018,tbbo,0.206893086433
2018-03-14,2018,1,0,1,E2_2014_2018,trades,0.117381691933
2018-03-14,2018,1,0,1,E2_2014_2018,tbbo,0.195636153221
2018-01-15,2018,1,0,2,E2_2014_2018,trades,0.086215674877
2018-01-15,2018,1,0,2,E2_2014_2018,tbbo,0.143692791462
2018-03-09,2018,1,1,1,E2_2014_2018,trades,0.149700522423
2018-03-09,2018,1,1,1,E2_2014_2018,tbbo,0.249500870705
2018-01-16,2018,1,1,2,E2_2014_2018,trades,0.142687261105
2018-01-16,2018,1,1,2,E2_2014_2018,tbbo,0.237812101841
2018-01-25,2018,1,2,2,E2_2014_2018,trades,0.239592432976
2018-01-25,2018,1,2,2,E2_2014_2018,tbbo,0.399320721626
2018-05-18,2018,2,0,1,E2_2014_2018,trades,0.111494958401
2018-05-18,2018,2,0,1,E2_2014_2018,tbbo,0.185824930668
2018-06-28,2018,2,0,2,E2_2014_2018,trades,0.110029220581
2018-06-28,2018,2,0,2,E2_2014_2018,tbbo,0.183382034302
2018-05-16,2018,2,1,1,E2_2014_2018,trades,0.150306344032
2018-05-16,2018,2,1,1,E2_2014_2018,tbbo,0.250510573387
2018-04-10,2018,2,1,2,E2_2014_2018,trades,0.136493861675
2018-04-10,2018,2,1,2,E2_2014_2018,tbbo,0.227489769459
2018-04-25,2018,2,2,1,E2_2014_2018,trades,0.119260489941
2018-04-25,2018,2,2,1,E2_2014_2018,tbbo,0.198767483234
2018-05-24,2018,2,2,2,E2_2014_2018,trades,0.162522912025
2018-05-24,2018,2,2,2,E2_2014_2018,tbbo,0.270871520042
2018-08-20,2018,3,0,1,E2_2014_2018,trades,0.093700826168
2018-08-20,2018,3,0,1,E2_2014_2018,tbbo,0.156168043613
2018-09-18,2018,3,0,2,E2_2014_2018,trades,0.112160861492
2018-09-18,2018,3,0,2,E2_2014_2018,tbbo,0.186934769154
2018-07-10,2018,3,1,1,E2_2014_2018,trades,0.110949218273
2018-07-10,2018,3,1,1,E2_2014_2018,tbbo,0.184915363789
2018-09-11,2018,3,1,2,E2_2014_2018,trades,0.117496848106
2018-09-11,2018,3,1,2,E2_2014_2018,tbbo,0.195828080177
2018-08-02,2018,3,2,1,E2_2014_2018,trades,0.107370615005
2018-08-02,2018,3,2,1,E2_2014_2018,tbbo,0.178951025009
2018-07-02,2018,3,2,2,E2_2014_2018,trades,0.105635762215
2018-07-02,2018,3,2,2,E2_2014_2018,tbbo,0.176059603691
2018-12-31,2018,4,0,1,E2_2014_2018,trades,0.055779397488
2018-12-31,2018,4,0,1,E2_2014_2018,tbbo,0.092965662479
2018-11-13,2018,4,0,2,E2_2014_2018,trades,0.110973000526
2018-11-13,2018,4,0,2,E2_2014_2018,tbbo,0.184955000877
2018-10-10,2018,4,1,1,E2_2014_2018,trades,0.107529580593
2018-10-10,2018,4,1,1,E2_2014_2018,tbbo,0.179215967655
2018-10-29,2018,4,1,2,E2_2014_2018,trades,0.114352583885
2018-10-29,2018,4,1,2,E2_2014_2018,tbbo,0.190587639809
2018-12-26,2018,4,2,1,E2_2014_2018,trades,0.103664338589
2018-12-26,2018,4,2,1,E2_2014_2018,tbbo,0.172773897648
2018-11-09,2018,4,2,2,E2_2014_2018,trades,0.12733143568
2018-11-09,2018,4,2,2,E2_2014_2018,tbbo,0.212219059467
2019-01-14,2019,1,0,1,E3_2019_2022,trades,0.08831101656
2019-01-14,2019,1,0,1,E3_2019_2022,tbbo,0.147185027599
2019-01-24,2019,1,0,2,E3_2019_2022,trades,0.082220256329
2019-01-24,2019,1,0,2,E3_2019_2022,tbbo,0.137033760548
2019-03-08,2019,1,1,1,E3_2019_2022,trades,0.114172339439
2019-03-08,2019,1,1,1,E3_2019_2022,tbbo,0.190287232399
2019-01-09,2019,1,1,2,E3_2019_2022,trades,0.105889856815
2019-01-09,2019,1,1,2,E3_2019_2022,tbbo,0.176483094692
2019-03-14,2019,1,2,1,E3_2019_2022,trades,0.103022217751
2019-03-14,2019,1,2,1,E3_2019_2022,tbbo,0.171703696251
2019-02-21,2019,1,2,2,E3_2019_2022,trades,0.120330691338
2019-02-21,2019,1,2,2,E3_2019_2022,tbbo,0.200551152229
2019-04-17,2019,2,0,1,E3_2019_2022,trades,0.096361935139
2019-04-17,2019,2,0,1,E3_2019_2022,tbbo,0.160603225231
2019-06-10,2019,2,1,1,E3_2019_2022,trades,0.101015746593
