session_tier,split,signature,events
3,DEV,OBJECTIVE_LIQUIDITY+MEMORY+FVG,223
3,VALIDATION,DISPLACEMENT_ORIGIN,1041
3,VALIDATION,DISPLACEMENT_ORIGIN+FVG,750
3,VALIDATION,DISPLACEMENT_ORIGIN+MEMORY,32
3,VALIDATION,DISPLACEMENT_ORIGIN+MEMORY+FVG,33
3,VALIDATION,DISPLACEMENT_ORIGIN+OBJECTIVE_LIQUIDITY,205
3,VALIDATION,DISPLACEMENT_ORIGIN+OBJECTIVE_LIQUIDITY+FVG,177
3,VALIDATION,DISPLACEMENT_ORIGIN+OBJECTIVE_LIQUIDITY+MEMORY,2
3,VALIDATION,DISPLACEMENT_ORIGIN+OBJECTIVE_LIQUIDITY+MEMORY+FVG,6
3,VALIDATION,FVG,34550
3,VALIDATION,MEMORY,1043
3,VALIDATION,MEMORY+FVG,750
3,VALIDATION,OBJECTIVE_LIQUIDITY,1080
3,VALIDATION,OBJECTIVE_LIQUIDITY+FVG,750
3,VALIDATION,OBJECTIVE_LIQUIDITY+MEMORY,142
3,VALIDATION,OBJECTIVE_LIQUIDITY+MEMORY+FVG,81
4,COMEX_FEATURE_HOLDOUT,DISPLACEMENT_ORIGIN,1029
4,COMEX_FEATURE_HOLDOUT,DISPLACEMENT_ORIGIN+FVG,750
4,COMEX_FEATURE_HOLDOUT,DISPLACEMENT_ORIGIN+MEMORY,63
4,COMEX_FEATURE_HOLDOUT,DISPLACEMENT_ORIGIN+MEMORY+FVG,47
4,COMEX_FEATURE_HOLDOUT,DISPLACEMENT_ORIGIN+OBJECTIVE_LIQUIDITY,136
4,COMEX_FEATURE_HOLDOUT,DISPLACEMENT_ORIGIN+OBJECTIVE_LIQUIDITY+FVG,104
4,COMEX_FEATURE_HOLDOUT,DISPLACEMENT_ORIGIN+OBJECTIVE_LIQUIDITY+MEMORY,5
4,COMEX_FEATURE_HOLDOUT,DISPLACEMENT_ORIGIN+OBJECTIVE_LIQUIDITY+MEMORY+FVG,8
4,COMEX_FEATURE_HOLDOUT,FVG,33644
4,COMEX_FEATURE_HOLDOUT,MEMORY,1048
4,COMEX_FEATURE_HOLDOUT,MEMORY+FVG,750
4,COMEX_FEATURE_HOLDOUT,OBJECTIVE_LIQUIDITY,1080
4,COMEX_FEATURE_HOLDOUT,OBJECTIVE_LIQUIDITY+FVG,750
4,COMEX_FEATURE_HOLDOUT,OBJECTIVE_LIQUIDITY+MEMORY,184
4,COMEX_FEATURE_HOLDOUT,OBJECTIVE_LIQUIDITY+MEMORY+FVG,119
4,DEV,DISPLACEMENT_ORIGIN,2076
4,DEV,DISPLACEMENT_ORIGIN+FVG,1500
4,DEV,DISPLACEMENT_ORIGIN+MEMORY,74
4,DEV,DISPLACEMENT_ORIGIN+MEMORY+FVG,83
4,DEV,DISPLACEMENT_ORIGIN+OBJECTIVE_LIQUIDITY,511
4,DEV,DISPLACEMENT_ORIGIN+OBJECTIVE_LIQUIDITY+FVG,512
4,DEV,DISPLACEMENT_ORIGIN+OBJECTIVE_LIQUIDITY+MEMORY,6
4,DEV,DISPLACEMENT_ORIGIN+OBJECTIVE_LIQUIDITY+MEMORY+FVG,28
4,DEV,FVG,93471
4,DEV,MEMORY,2048
4,DEV,MEMORY+FVG,1500
4,DEV,OBJECTIVE_LIQUIDITY,2424
4,DEV,OBJECTIVE_LIQUIDITY+FVG,1500
4,DEV,OBJECTIVE_LIQUIDITY+MEMORY,228
4,DEV,OBJECTIVE_LIQUIDITY+MEMORY+FVG,223
4,VALIDATION,DISPLACEMENT_ORIGIN,1041
4,VALIDATION,DISPLACEMENT_ORIGIN+FVG,750
4,VALIDATION,DISPLACEMENT_ORIGIN+MEMORY,32
4,VALIDATION,DISPLACEMENT_ORIGIN+MEMORY+FVG,33
4,VALIDATION,DISPLACEMENT_ORIGIN+OBJECTIVE_LIQUIDITY,205
4,VALIDATION,DISPLACEMENT_ORIGIN+OBJECTIVE_LIQUIDITY+FVG,177
4,VALIDATION,DISPLACEMENT_ORIGIN+OBJECTIVE_LIQUIDITY+MEMORY,2
4,VALIDATION,DISPLACEMENT_ORIGIN+OBJECTIVE_LIQUIDITY+MEMORY+FVG,6
4,VALIDATION,FVG,45570
4,VALIDATION,MEMORY,1043
4,VALIDATION,MEMORY+FVG,750
4,VALIDATION,OBJECTIVE_LIQUIDITY,1218
4,VALIDATION,OBJECTIVE_LIQUIDITY+FVG,750
4,VALIDATION,OBJECTIVE_LIQUIDITY+MEMORY,142
4,VALIDATION,OBJECTIVE_LIQUIDITY+MEMORY+FVG,81
